Side Win Lose,Side,WinLose,func,total_tp_exits,Avg Entry Price,Num Transact,Last Max Shares,Initial Qty,Target Qty,Total P/L,ROE (P/L %),Slippage Costs,Transaction Costs,holding_time,profitable_time,profitable_time_pct,first_negpl_time,first_pospl_time,last_negpl_time,last_pospl_time,max_shares_reached_pct,max_shares_reached_time,body_above_buy_price_time,wick_above_buy_price_time,max_pl_body,min_pl_body,max_pl_wick,min_pl_wick,max_plpc_body,min_plpc_body,max_plpc_wick,min_plpc_wick,max_pl_body_time,min_pl_body_time,max_pl_wick_time,min_pl_wick_time,breakout_pre_vwap_dist,breakout_post_vwap_dist,breakout_pre_vwap_std,breakout_post_vwap_std,breakout_pre_vwap_std_close,breakout_post_vwap_std_close,avg_vwap_dist,avg_vwap_std,avg_vwap_std_close,best_vwap_std_close,worst_vwap_std_close,best_vwap_std_close_time,worst_vwap_std_close_time,avg_entry_price_diff,avg_central_value_dist,avg_prior_central_value_dist,net_price_diff_body,best_price_diff_body,worst_price_diff_body,best_price_diff_wick,worst_price_diff_wick,best_price_diff_body_time,worst_price_diff_body_time,best_price_diff_wick_time,worst_price_diff_wick_time,ref_price,ref_area_width,avg_area_width,market_phase_inc,market_phase_dec,doji_ratio,mfi_divergence,rsi_divergence,abs_doji_ratio,wick_ratio,nr4_hl_diff,nr7_hl_diff,volume_ratio,ATR_ratio,entry_time_since_latest_touch,entry_time_since_min_touch,entry_touch_formation_time,entry_touch_density,entry_touch_regularity,entry_atr_trend,entry_num_touches,volume,trade_count,MACD,MACD_signal,MACD_hist,MACD_hist_roc,RSI,RSI_roc,MFI,MFI_roc,VWAP,VWAP_dist,VWAP_std,VWAP_std_close,central_value,central_value_dist,exit_ema,exit_ema_dist,H_L,ATR,MTR,avg_volume,avg_trade_count,log_return,volatility,rolling_range_min_4,rolling_range_min_7,rolling_ATR,ADX,trend_strength,buy_vol_balance,buy_vol_concentration,buy_vol_kurtosis,buy_hvn_balance,buy_hvn_concentration,buy_hvn_avg_prominence,sell_vol_balance,sell_vol_concentration,sell_vol_kurtosis,sell_hvn_balance,sell_hvn_concentration,sell_hvn_avg_prominence
Short Win mean,Short,Win,mean,1.92,400.12,6.62,18.0,11.15,74.46,49.49,0.17,0.78,1.45,20.38,16.77,81.91,2.0,2.69,6.0,20.38,96.25,7.0,20.62,22.23,74.13,-13.42,83.1,-23.74,0.27,-0.1,0.3,-0.15,19.0,5.54,16.62,6.62,0.14,0.11,0.08,0.09,1.63,1.16,0.19,0.15,1.26,2.7,-0.9,5.62,12.85,0.2,0.36,0.07,0.48,0.82,-0.05,0.88,-0.22,19.08,1.15,19.85,1.54,401.01,1.1,1.1,0.61,0.39,0.67,-0.01,0.0,0.67,1.67,0.46,0.53,1.33,1.03,7.15,14.15,33.23,0.23,1.36,-0.0,11.46,108639.54,1851.62,0.18,0.09,0.02,0.03,42.1,5.16,44.69,3.26,403.14,2.12,4.06,0.52,401.91,0.9,401.87,0.86,0.94,0.71,0.63,78675.69,1454.69,-0.0,0.0,0.47,0.41,0.69,29.82,12.09,-0.29,0.14,-2.79,-0.75,0.29,0.0,-0.32,0.16,-2.78,-0.78,0.33,0.0
Short Win std,Short,Win,std,0.49,8.26,1.26,6.71,16.01,1.56,49.56,0.17,0.02,0.02,7.86,7.5,17.99,1.26,2.93,4.22,7.86,9.55,5.29,7.11,7.51,51.44,14.57,51.94,20.06,0.17,0.09,0.17,0.09,7.88,4.84,8.64,5.33,0.09,0.13,0.05,0.06,0.96,1.32,0.14,0.07,0.31,0.54,1.52,4.41,10.24,0.1,0.25,0.08,0.46,0.47,0.08,0.49,0.11,7.87,1.41,8.12,2.47,8.34,0.31,0.31,0.17,0.17,0.21,0.02,0.0,0.21,0.59,0.43,0.39,0.49,0.14,11.56,13.34,28.25,0.18,0.68,0.01,3.55,57406.61,867.73,0.33,0.26,0.08,0.02,10.41,2.46,15.13,6.77,9.11,3.14,1.09,0.7,8.46,0.81,8.46,0.78,0.43,0.21,0.17,20467.38,308.66,0.0,0.0,0.23,0.14,0.18,11.21,18.05,0.12,0.05,0.35,0.29,0.17,0.0,0.13,0.05,0.4,0.29,0.14,0.0
Short Win min,Short,Win,min,1.0,393.07,4.0,15.0,1.0,71.0,9.27,0.03,0.73,1.42,8.0,6.0,40.0,1.0,1.0,1.0,8.0,69.01,1.0,9.0,9.0,31.77,-48.42,35.18,-74.41,0.11,-0.27,0.12,-0.3,5.0,0.0,4.0,1.0,-0.0,-0.04,0.02,0.02,-0.16,-1.0,0.07,0.05,0.84,1.98,-4.54,1.0,2.0,0.07,0.06,-0.04,0.07,0.35,-0.22,0.38,-0.4,5.0,0.0,6.0,0.0,394.08,0.57,0.59,0.29,0.17,0.36,-0.06,-0.0,0.36,1.0,0.0,0.0,0.69,0.78,1.0,1.0,3.0,0.07,0.0,-0.02,5.0,23204.0,659.0,-0.53,-0.51,-0.14,-0.01,24.85,0.99,17.0,-6.31,389.83,-4.65,2.16,-1.13,394.75,-0.73,394.77,-0.68,0.24,0.29,0.31,33507.34,746.15,-0.0,0.0,0.15,0.15,0.36,18.08,-20.58,-0.44,0.08,-2.97,-1.0,0.12,0.0,-0.51,0.1,-2.97,-1.0,0.19,0.0
Short Win 25%,Short,Win,25%,2.0,394.15,6.0,15.0,2.0,73.0,22.83,0.08,0.76,1.43,14.0,11.0,78.57,1.0,1.0,3.5,14.0,100.0,3.0,15.0,16.0,44.78,-24.23,53.06,-29.5,0.16,-0.15,0.19,-0.18,13.0,2.0,10.0,3.0,0.09,0.01,0.04,0.05,1.18,0.12,0.11,0.11,1.02,2.34,-1.32,2.0,4.0,0.13,0.19,0.01,0.19,0.54,-0.08,0.6,-0.33,13.0,0.0,14.0,0.0,394.48,0.83,0.83,0.48,0.27,0.48,-0.03,0.0,0.48,1.23,0.18,0.3,0.96,0.94,1.0,5.0,17.0,0.12,0.91,-0.01,10.0,67547.0,1174.0,0.1,0.05,-0.02,0.03,37.69,2.9,34.83,-2.69,398.83,0.94,4.13,0.22,395.56,0.27,395.53,0.29,0.72,0.6,0.48,65360.95,1368.12,-0.0,0.0,0.31,0.3,0.56,23.4,4.24,-0.37,0.1,-2.95,-0.96,0.16,0.0,-0.42,0.12,-2.95,-0.99,0.22,0.0
Short Win 50%,Short,Win,50%,2.0,397.15,7.0,15.0,6.0,75.0,38.39,0.13,0.78,1.44,20.0,20.0,86.96,1.0,1.0,4.0,20.0,100.0,6.0,21.0,21.0,60.29,-9.42,66.86,-21.9,0.23,-0.07,0.3,-0.15,17.0,4.0,14.0,4.0,0.14,0.08,0.09,0.08,1.9,1.32,0.15,0.13,1.21,2.54,-0.59,4.0,8.0,0.19,0.27,0.07,0.4,0.71,0.0,0.78,-0.2,18.0,0.0,18.0,0.0,398.29,1.07,1.07,0.64,0.36,0.74,0.0,0.0,0.74,1.35,0.35,0.4,1.2,0.99,2.0,10.0,26.0,0.17,1.41,-0.0,11.0,99750.0,1637.0,0.26,0.14,0.0,0.04,39.22,4.51,48.3,3.05,399.4,2.55,4.33,0.67,397.56,1.09,397.61,1.01,0.88,0.7,0.67,80184.26,1533.13,-0.0,0.0,0.45,0.39,0.65,25.88,12.16,-0.3,0.13,-2.91,-0.79,0.3,0.0,-0.31,0.16,-2.92,-0.86,0.3,0.0
Short Win 75%,Short,Win,75%,2.0,406.23,8.0,16.0,10.0,76.0,56.02,0.19,0.79,1.46,24.0,20.0,95.83,3.0,3.0,7.5,24.0,100.0,8.0,25.0,29.0,86.67,-1.95,98.42,-8.52,0.29,-0.04,0.33,-0.08,24.0,8.0,18.0,10.0,0.19,0.15,0.11,0.1,2.17,1.81,0.2,0.17,1.42,3.18,-0.15,8.0,20.0,0.25,0.46,0.11,0.46,0.82,0.0,0.87,-0.14,24.0,2.0,28.0,3.0,407.6,1.25,1.25,0.73,0.52,0.81,0.0,0.0,0.81,2.07,0.77,0.77,1.81,1.07,8.0,22.0,43.0,0.27,1.76,-0.0,13.0,131030.0,2400.0,0.36,0.18,0.09,0.04,46.04,7.29,52.99,8.4,411.47,3.71,4.6,0.96,408.9,1.37,408.84,1.33,1.19,0.9,0.72,87819.59,1667.42,-0.0,0.0,0.55,0.51,0.77,31.09,25.7,-0.21,0.18,-2.84,-0.7,0.38,0.0,-0.23,0.19,-2.88,-0.77,0.38,0.0
Short Win max,Short,Win,max,3.0,419.44,8.0,37.0,60.0,76.0,198.96,0.67,0.79,1.47,33.0,29.0,100.0,4.0,11.0,15.0,33.0,100.0,19.0,32.0,33.0,225.01,0.0,235.93,-3.66,0.76,0.0,0.79,-0.04,33.0,16.0,33.0,17.0,0.28,0.44,0.16,0.24,3.18,3.51,0.55,0.3,1.93,3.72,1.27,14.0,32.0,0.45,0.96,0.25,1.66,1.87,0.0,1.96,-0.09,33.0,4.0,33.0,7.0,420.55,1.69,1.69,0.83,0.71,1.0,-0.0,-0.0,1.0,2.8,1.29,1.29,2.07,1.3,40.0,43.0,105.0,0.73,2.49,0.0,19.0,224251.0,3450.0,0.66,0.48,0.14,0.07,66.05,8.44,70.42,13.65,421.08,7.81,5.71,1.66,421.35,2.16,421.32,2.1,1.65,1.04,0.96,117608.05,1797.27,-0.0,0.0,1.03,0.63,1.06,50.17,41.07,-0.09,0.25,-1.67,0.0,0.7,0.0,-0.09,0.27,-1.49,-0.08,0.71,0.0
Short Lose mean,Short,Lose,mean,0.28,401.12,3.11,68.17,10.28,74.33,-17.32,-0.22,0.25,0.47,6.28,1.11,15.24,1.11,2.89,6.28,4.56,32.41,2.56,4.22,6.61,2.79,-18.28,6.24,-20.05,0.04,-0.23,0.07,-0.26,2.72,6.28,3.61,5.94,0.12,-0.04,0.07,0.06,2.4,-0.69,-0.01,0.04,-0.76,1.74,-3.06,3.94,4.89,0.05,0.13,0.08,-0.18,0.08,-0.18,0.13,-0.24,3.17,6.28,3.06,4.06,401.38,0.94,0.94,0.76,0.24,0.65,-0.0,0.0,0.65,1.87,0.31,0.42,1.22,1.03,3.72,6.33,35.06,0.32,1.29,-0.0,12.39,111073.78,1875.56,0.21,0.13,0.03,0.03,39.23,4.69,41.63,4.97,402.99,1.61,4.04,0.43,402.21,0.84,402.18,0.8,0.77,0.62,0.55,90304.41,1484.24,-0.0,0.0,0.46,0.34,0.6,32.77,15.71,-0.27,0.16,-2.56,-0.7,0.37,0.0,-0.28,0.18,-2.56,-0.69,0.39,0.0
Short Lose std,Short,Lose,std,0.57,14.69,1.49,14.46,8.81,2.72,15.29,0.11,0.23,0.44,3.85,1.84,19.09,0.32,1.96,3.85,3.57,30.48,2.33,3.86,3.71,5.61,14.76,9.49,15.46,0.06,0.09,0.07,0.1,2.49,4.21,2.93,3.9,0.07,0.1,0.06,0.02,3.31,1.58,0.04,0.02,1.15,1.97,1.18,3.76,2.97,0.07,0.08,0.07,0.12,0.1,0.11,0.1,0.09,4.12,4.32,2.98,4.71,14.58,0.28,0.27,0.16,0.16,0.22,0.01,0.0,0.22,1.19,0.2,0.21,0.33,0.12,8.23,11.13,40.05,0.25,0.7,0.0,6.58,46585.24,735.1,0.18,0.15,0.06,0.03,8.55,1.77,14.37,4.6,14.12,4.47,1.59,1.04,14.54,0.49,14.53,0.47,0.29,0.18,0.15,22525.66,378.99,0.0,0.0,0.22,0.11,0.16,11.25,11.84,0.13,0.05,0.87,0.32,0.12,0.0,0.15,0.05,0.86,0.34,0.13,0.0
Short Lose min,Short,Lose,min,0.0,376.03,2.0,21.0,1.0,68.0,-53.85,-0.4,0.01,0.02,2.0,0.0,0.0,1.0,1.0,2.0,1.0,1.39,0.0,1.0,2.0,0.0,-53.85,0.0,-53.28,0.0,-0.4,0.0,-0.44,0.0,2.0,0.0,2.0,0.04,-0.16,0.01,0.02,0.8,-2.93,-0.07,0.01,-3.01,-1.71,-5.36,1.0,1.0,0.0,-0.07,0.0,-0.39,0.0,-0.39,0.03,-0.41,0.0,0.0,0.0,0.0,376.68,0.47,0.47,0.39,0.08,0.17,-0.03,-0.0,0.17,1.07,0.03,0.14,0.73,0.86,1.0,1.0,3.0,0.06,0.0,-0.01,6.0,49555.0,913.0,-0.36,-0.28,-0.14,-0.01,26.32,2.64,7.3,-3.33,382.76,-7.3,2.17,-1.3,377.58,-0.33,377.53,-0.3,0.42,0.38,0.33,46800.04,920.36,-0.0,0.0,0.21,0.2,0.37,19.36,-14.37,-0.46,0.07,-2.98,-1.0,0.11,0.0,-0.51,0.09,-2.97,-1.0,0.11,0.0
Short Lose 25%,Short,Lose,25%,0.0,393.22,2.0,68.75,2.75,73.0,-25.75,-0.31,0.08,0.16,3.0,0.0,0.0,1.0,2.0,3.0,2.0,11.45,1.0,1.0,4.0,0.0,-25.75,0.2,-32.52,0.0,-0.31,0.02,-0.32,1.25,3.0,1.25,3.25,0.06,-0.13,0.04,0.04,1.27,-1.67,-0.04,0.03,-1.44,0.25,-3.74,2.0,3.0,0.0,0.09,0.02,-0.26,0.0,-0.26,0.06,-0.27,0.0,3.0,1.0,0.0,393.38,0.73,0.74,0.7,0.14,0.53,0.0,0.0,0.53,1.2,0.18,0.25,0.99,0.92,1.0,1.0,7.5,0.12,0.91,-0.01,8.25,82656.75,1311.0,0.13,0.07,0.01,0.0,35.38,3.24,35.38,1.25,391.8,-1.85,2.75,-0.53,393.77,0.52,393.73,0.49,0.47,0.45,0.43,75997.44,1206.43,-0.0,0.0,0.3,0.24,0.45,21.91,7.43,-0.37,0.14,-2.93,-0.96,0.29,0.0,-0.4,0.15,-2.92,-0.92,0.31,0.0
Short Lose 50%,Short,Lose,50%,0.0,399.01,3.0,73.5,8.5,74.5,-10.22,-0.22,0.16,0.3,5.5,0.5,5.56,1.0,2.0,5.5,3.0,20.91,2.0,2.5,5.0,0.04,-14.15,1.98,-17.31,0.01,-0.22,0.05,-0.23,2.0,5.0,3.0,5.0,0.1,-0.03,0.06,0.06,1.43,-0.9,-0.01,0.04,-0.56,1.99,-3.16,2.5,4.5,0.0,0.12,0.05,-0.16,0.03,-0.16,0.11,-0.24,2.0,5.0,3.0,3.0,399.21,0.96,0.96,0.81,0.19,0.64,-0.0,-0.0,0.64,1.56,0.25,0.43,1.15,1.03,1.0,2.0,13.5,0.23,1.29,-0.0,10.5,97529.0,1751.5,0.22,0.15,0.03,0.02,39.77,4.26,43.73,4.56,398.63,2.47,3.74,0.88,400.02,0.91,400.0,0.87,0.8,0.63,0.56,84697.35,1374.37,-0.0,0.0,0.42,0.33,0.61,31.2,18.23,-0.24,0.17,-2.84,-0.72,0.39,0.0,-0.24,0.19,-2.84,-0.71,0.41,0.0
Short Lose 75%,Short,Lose,75%,0.0,409.57,3.0,76.0,17.0,76.0,-6.58,-0.16,0.33,0.62,8.75,1.0,29.33,1.0,3.0,8.75,7.0,43.08,3.75,6.5,9.5,3.39,-7.56,6.4,-7.6,0.09,-0.16,0.14,-0.19,3.0,8.75,3.75,6.75,0.15,0.01,0.09,0.07,2.23,0.16,0.02,0.05,0.08,2.67,-2.33,4.0,6.0,0.09,0.19,0.14,-0.11,0.13,-0.11,0.17,-0.18,3.75,8.75,3.0,6.75,409.63,1.07,1.07,0.86,0.3,0.84,-0.0,-0.0,0.84,1.87,0.45,0.56,1.42,1.09,2.0,4.5,60.25,0.42,1.59,-0.0,13.5,134359.5,2165.25,0.34,0.17,0.06,0.04,43.32,5.67,53.12,9.13,413.52,5.49,5.35,1.27,410.58,1.09,410.54,1.06,1.01,0.76,0.62,109186.32,1689.41,-0.0,0.0,0.55,0.42,0.71,41.46,23.13,-0.17,0.2,-2.77,-0.55,0.46,0.0,-0.18,0.21,-2.76,-0.59,0.5,0.0
Short Lose max,Short,Lose,max,2.0,438.09,8.0,79.0,28.0,79.0,-0.7,-0.01,0.78,1.44,14.0,7.0,58.33,2.0,7.0,14.0,11.0,100.0,9.0,13.0,14.0,22.71,-0.7,34.94,-0.86,0.18,-0.09,0.2,-0.1,8.0,17.0,10.0,17.0,0.29,0.18,0.21,0.1,15.43,2.36,0.07,0.09,0.82,5.19,-0.6,16.0,13.0,0.2,0.25,0.18,0.02,0.34,0.0,0.36,-0.08,16.0,17.0,9.0,17.0,438.12,1.47,1.47,0.92,0.61,0.94,-0.0,-0.0,0.94,6.06,0.72,0.79,1.95,1.27,36.0,40.0,140.0,1.0,2.77,-0.0,33.0,251331.0,3800.0,0.41,0.36,0.14,0.1,63.19,8.17,61.78,11.71,430.82,7.96,6.66,1.87,438.56,1.88,438.53,1.79,1.21,0.91,0.85,128746.61,2296.25,-0.0,0.0,1.15,0.58,0.86,54.81,32.44,-0.07,0.23,0.59,0.27,0.54,0.0,-0.08,0.25,0.44,0.45,0.59,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long Win count,Long,Win,count,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,12.0,15.0,12.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
Long Lose count,Long,Lose,count,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,18.0,34.0,18.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0
Short Win count,Short,Win,count,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,11.0,13.0,11.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
Short Lose count,Short,Lose,count,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,9.0,18.0,9.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
